Detector Coordinates (mm)
       X       Y       Z
    2150    3100    1600
    1595    3100    1600
    1040    3100    1600
     485    3100    1600
     -70    3100    1600
    -625    3100    1600
   -1180    3100    1600
   -1735    3100    1600
   -2290    3100    1600
   -2845    3100    1600
   -3400    3100    1600
    2150    3100    1025
    1595    3100    1025
    1040    3100    1025
     485    3100    1025
     -70    3100    1025
    -625    3100    1025
   -1180    3100    1025
   -1735    3100    1025
   -2290    3100    1025
   -2845    3100    1025
   -3400    3100    1025
    2150    3100     450
    1595    3100     450
    1040    3100     450
     485    3100     450
     -70    3100     450
    -625    3100     450
   -1180    3100     450
   -1735    3100     450
   -2290    3100     450
   -2845    3100     450
    2150    3100    -125
    1595    3100    -125
    1040    3100    -125
     485    3100    -125
     -70    3100    -125
    -625    3100    -125
   -1180    3100    -125
   -1735    3100    -125
   -2290    3100    -125
   -2845    3100    -125
   -3400    3100    -125
    2150    3100    -700
    1595    3100    -700
    1040    3100    -700
     485    3100    -700
     -70    3100    -700
    -625    3100    -700
   -1180    3100    -700
   -1735    3100    -700
   -2290    3100    -700
   -2845    3100    -700
   -3400    3100    -700
    1040    3100   -1275
     485    3100   -1275
     -70    3100   -1275
    -625    3100   -1275
   -1180    3100   -1275
   -1735    3100   -1275
   -2290    3100   -1275
   -2845    3100   -1275
   -3400    3100   -1275
    2150    2520    1600
    1595    2520    1600
    1040    2520    1600
     485    2520    1600
     -70    2520    1600
    -625    2520    1600
   -1180    2520    1600
   -1735    2520    1600
   -2290    2520    1600
   -2845    2520    1600
   -3400    2520    1600
    2150    2520    1025
    1595    2520    1025
    1040    2520    1025
     485    2520    1025
     -70    2520    1025
    -625    2520    1025
   -1180    2520    1025
   -1735    2520    1025
   -2290    2520    1025
   -2845    2520    1025
   -3400    2520    1025
    2150    2520     450
    1595    2520     450
    1040    2520     450
     485    2520     450
     -70    2520     450
    -625    2520     450
   -1180    2520     450
   -1735    2520     450
   -2290    2520     450
    2150    2520    -125
    1595    2520    -125
    1040    2520    -125
     485    2520    -125
     -70    2520    -125
    -625    2520    -125
   -1180    2520    -125
   -1735    2520    -125
   -2290    2520    -125
   -2845    2520    -125
   -3400    2520    -125
    2150    2520    -700
    1595    2520    -700
    1040    2520    -700
     485    2520    -700
     -70    2520    -700
    -625    2520    -700
   -1180    2520    -700
   -1735    2520    -700
   -2290    2520    -700
   -2845    2520    -700
   -3400    2520    -700
    1040    2520   -1275
     485    2520   -1275
     -70    2520   -1275
    -625    2520   -1275
   -1180    2520   -1275
   -1735    2520   -1275
   -2290    2520   -1275
   -2845    2520   -1275
   -3400    2520   -1275
    2150    1940    1600
    1595    1940    1600
    1040    1940    1600
     485    1940    1600
     -70    1940    1600
    -625    1940    1600
   -1180    1940    1600
   -1735    1940    1600
   -2290    1940    1600
   -2845    1940    1600
   -3400    1940    1600
    2150    1940    1025
    1595    1940    1025
    1040    1940    1025
     485    1940    1025
     -70    1940    1025
    -625    1940    1025
   -1180    1940    1025
   -1735    1940    1025
   -2290    1940    1025
   -2845    1940    1025
   -3400    1940    1025
    2150    1940     450
    1595    1940     450
    1040    1940     450
     485    1940     450
     -70    1940     450
    -625    1940     450
   -1180    1940     450
    2150    1940    -125
    1595    1940    -125
    1040    1940    -125
     485    1940    -125
     -70    1940    -125
    -625    1940    -125
   -1180    1940    -125
   -1735    1940    -125
   -2290    1940    -125
   -2845    1940    -125
   -3400    1940    -125
    2150    1940    -700
    1595    1940    -700
    1040    1940    -700
     485    1940    -700
     -70    1940    -700
    -625    1940    -700
   -1180    1940    -700
   -1735    1940    -700
   -2290    1940    -700
   -2845    1940    -700
   -3400    1940    -700
    1040    1940   -1275
     485    1940   -1275
     -70    1940   -1275
    -625    1940   -1275
   -1180    1940   -1275
   -1735    1940   -1275
   -2290    1940   -1275
   -2845    1940   -1275
   -3400    1940   -1275
    2150    1360    1600
    1595    1360    1600
    1040    1360    1600
     485    1360    1600
     -70    1360    1600
    -625    1360    1600
   -1180    1360    1600
   -1735    1360    1600
   -2290    1360    1600
   -2845    1360    1600
   -3400    1360    1600
    2150    1360    1025
    1595    1360    1025
    1040    1360    1025
     485    1360    1025
     -70    1360    1025
    -625    1360    1025
   -1180    1360    1025
   -1735    1360    1025
   -2290    1360    1025
   -2845    1360    1025
   -3400    1360    1025
    2150    1360     450
    1595    1360     450
    1040    1360     450
     485    1360     450
     -70    1360     450
    -625    1360     450
   -1180    1360     450
   -1735    1360     450
    2150    1360    -125
    1595    1360    -125
    1040    1360    -125
     485    1360    -125
     -70    1360    -125
    -625    1360    -125
   -1180    1360    -125
   -1735    1360    -125
   -2290    1360    -125
   -2845    1360    -125
   -3400    1360    -125
    2150    1360    -700
    1595    1360    -700
    1040    1360    -700
     485    1360    -700
     -70    1360    -700
    -625    1360    -700
   -1180    1360    -700
   -1735    1360    -700
   -2290    1360    -700
   -2845    1360    -700
   -3400    1360    -700
    2150    1360   -1275
    1595    1360   -1275
    1040    1360   -1275
     485    1360   -1275
     -70    1360   -1275
    -625    1360   -1275
   -1180    1360   -1275
   -1735    1360   -1275
   -2290    1360   -1275
   -2845    1360   -1275
   -3400    1360   -1275
    2150     780    1600
    1595     780    1600
    1040     780    1600
     485     780    1600
     -70     780    1600
    -625     780    1600
   -1180     780    1600
   -1735     780    1600
   -2290     780    1600
   -2845     780    1600
   -3400     780    1600
    2150     780    1025
    1595     780    1025
    1040     780    1025
     485     780    1025
     -70     780    1025
    -625     780    1025
   -1180     780    1025
   -1735     780    1025
   -2290     780    1025
   -2845     780    1025
   -3400     780    1025
    2150     780     450
    1595     780     450
    1040     780     450
     485     780     450
     -70     780     450
    -625     780     450
   -1180     780     450
   -1735     780     450
   -2290     780     450
    2150     780    -125
    1595     780    -125
    1040     780    -125
     485     780    -125
     -70     780    -125
    -625     780    -125
   -1180     780    -125
   -1735     780    -125
   -2290     780    -125
   -2845     780    -125
