Detector Coordinates (mm)
       X       Y       Zs
   -3400    3100     450
   -3400    2520     450
   -3400    1940     450
   -3400    1360     450
   -3400     780     450
   -2845     780     450
   -2845    1360     450
   -2845    1940     450
   -2845    2520     450
   -2290    1940     450
   -2290    1360     450
   -1735    1940     450
   -3400   -3200   -1275
   -2290   -3200   -1275
   -3400   -3200    -700
   -2290   -3200    -700
   -3400   -3200    -125
   -2290   -3200    -125
   -3400   -3200     450
   -2290   -3200     450
   -3400   -3200    1025
   -2290   -3200    1025
   -3400   -3200    1600
   -2290   -3200    1600
   -3400   -2700   -1275
   -2290   -2700   -1275
   -3400   -2700    -700
   -2290   -2700    -700
   -3400   -2700    -125
   -2290   -2700    -125
   -3400   -2700     450
   -2290   -2700     450
   -3400   -2700    1025
   -2290   -2700    1025
   -3400   -2700    1600
   -2290   -2700    1600
   -3400   -2120   -1275
   -2290   -2120   -1275
   -3400   -2120    -700
   -2290   -2120    -700
   -3400   -2120    -125
   -2290   -2120    -125
   -3400   -2120     450
   -2290   -2120     450
   -3400   -2120    1025
   -2290   -2120    1025
   -3400   -2120    1600
   -2290   -2120    1600
   -3400   -1540   -1275
   -2290   -1540   -1275
   -3400   -1540    -700
   -2290   -1540    -700
   -3400   -1540    -125
   -2290   -1540    -125
   -3400   -1540     450
   -2290   -1540     450
   -3400   -1540    1025
   -2290   -1540    1025
   -3400   -1540    1600
   -2290   -1540    1600
   -3400    -960   -1275
   -2290    -960   -1275
   -3400    -960    -700
   -2290    -960    -700
   -3400    -960    -125
   -2290    -960    -125
   -3400    -960     450
   -2290    -960     450
   -3400    -960    1025
   -2290    -960    1025
   -3400    -960    1600
   -2290    -960    1600
    2150    3100   -1275
    1595    3100   -1275
    2150    2520   -1275
    1595    2520   -1275
    2150    1940   -1275
    1595    1940   -1275
